"LPC","CPC","NDP","GPC","BQ","Leader","sample","date","firm","region"
40,38,10,2,7,"LPC +2",1060,2025-11-14,"Nanos Research","National"
44,40,5,2,6,"LPC +4",1084,2025-11-08,"Mainstreet Research","National"
44,36,10,2,6,"LPC +8",1000,2025-11-08,"Liaison Strategies","National"
40,37,11,2,8,"LPC +3",1122,2025-11-07,"Nanos Research","National"
40,41,8,2,7,"CPC +1",1916,2025-11-06,"Abacus Data","National"
40,38,9,3,8,"LPC +2",2038,2025-11-06,"Angus Reid Institute","National"
42,38,11,2,5,"LPC +4",1000,2025-11-02,"Liaison Strategies","National"
43,36,8,4,6,"LPC +7",1126,2025-11-02,"EKOS","National"
43,38,7,4,7,"LPC +5",1585,2025-11-01,"Léger","National"
39,37,13,2,7,"LPC +2",1060,2025-10-31,"Nanos Research","National"
40,42,8,3,6,"CPC +2",2922,2025-10-27,"Abacus Data","National"
39,37,13,2,7,"LPC +2",1060,2025-10-24,"Nanos Research","National"
44,32,12,3,6,"LPC +12",1199,2025-10-23,"EKOS","National"
39,37,12,3,7,"LPC +2",1021,2025-10-17,"Nanos Research","National"
40,39,9,3,7,"LPC +1",4106,2025-10-17,"Innovative Research","National"
41,37,11,3,6,"LPC +4",1206,2025-10-14,"Pallas Data","National"
40,41,8,3,7,"CPC +1",4501,2025-10-12,"Abacus Data","National"
39,37,12,4,7,"LPC +2",1002,2025-10-10,"Nanos Research","National"
44,38,6,3,7,"LPC +6",1562,2025-10-04,"Léger","National"
39,38,12,4,6,"LPC +1",1027,2025-10-03,"Nanos Research","National"
40,41,7,3,7,"CPC +1",1504,2025-09-29,"Abacus Data","National"
41,37,12,4,5,"LPC +4",1030,2025-09-26,"Nanos Research","National"
38,41,10,2,8,"CPC +3",1570,2025-09-21,"Angus Reid Institute","National"
43,37,10,2,5,"LPC +6",1000,2025-09-20,"Liaison Strategies","National"
41,36,12,3,6,"LPC +5",1056,2025-09-19,"Nanos Research","National"
40,40,8,3,7,"Tie",2230,2025-09-15,"Abacus Data","National"
42,35,13,3,6,"LPC +7",1049,2025-09-12,"Nanos Research","National"
43,38,8,2,6,"LPC +5",1003,2025-09-11,"Research Co.","National"
42,34,13,3,5,"LPC +8",1614,2025-09-09,"EKOS","National"
43,39,7,1,7,"LPC +4",1001,2025-09-07,"Ipsos","National"
47,38,6,2,6,"LPC +9",1592,2025-09-06,"Léger","National"
43,33,13,4,5,"LPC +10",1002,2025-09-05,"Nanos Research","National"
38,40,10,2,8,"CPC +2",3656,2025-09-02,"Angus Reid Institute","National"
43,40,6,2,7,"LPC +3",1500,2025-08-31,"Abacus Data","National"
42,40,8,1,5,"LPC +2",1008,2025-08-30,"Mainstreet Research","National"
43,32,13,3,6,"LPC +11",1009,2025-08-29,"Nanos Research","National"
44,35,10,2,5,"LPC +9",1000,2025-08-26,"Liaison Strategies","National"
