"leader","sample","date","firm","row","party","pop_sup","region","election_dates","recency","recency_num","poll_weight"
"UCP +5",1045,2025-10-11,"Léger",1,"UCP",44,"AB",2023-05-29,41,41,0.78845023781681
"UCP +5",1045,2025-10-11,"Léger",1,"NDP(AB)",39,"AB",2023-05-29,41,41,0.78845023781681
"UCP +5",1045,2025-10-11,"Léger",1,"LIB(AB)",2,"AB",2023-05-29,41,41,0.78845023781681
"UCP +5",1045,2025-10-11,"Léger",1,"GPA",9,"AB",2023-05-29,41,41,0.78845023781681
"UCP +5",1045,2025-10-11,"Léger",1,"REP",3,"AB",2023-05-29,41,41,0.78845023781681
"UCP +5",1045,2025-10-11,"Léger",1,"ABP",1,"AB",2023-05-29,41,41,0.78845023781681
"UCP +7",2626,2025-09-19,"Cardinal Research",2,"UCP",43,"AB",2023-05-29,63,63,0.813404950813902
"UCP +7",2626,2025-09-19,"Cardinal Research",2,"NDP(AB)",36,"AB",2023-05-29,63,63,0.813404950813902
"UCP +7",2626,2025-09-19,"Cardinal Research",2,"LIB(AB)",4,"AB",2023-05-29,63,63,0.813404950813902
"UCP +7",2626,2025-09-19,"Cardinal Research",2,"GPA",5,"AB",2023-05-29,63,63,0.813404950813902
"UCP +7",2626,2025-09-19,"Cardinal Research",2,"REP",NA,"AB",2023-05-29,63,63,0.813404950813902
"UCP +7",2626,2025-09-19,"Cardinal Research",2,"ABP",11,"AB",2023-05-29,63,63,0.813404950813902
"UCP +11",431,2025-09-01,"Angus Reid Institute",3,"UCP",51,"AB",2023-05-29,81,81,0.256302956691688
"UCP +11",431,2025-09-01,"Angus Reid Institute",3,"NDP(AB)",40,"AB",2023-05-29,81,81,0.256302956691688
"UCP +11",431,2025-09-01,"Angus Reid Institute",3,"LIB(AB)",4,"AB",2023-05-29,81,81,0.256302956691688
"UCP +11",431,2025-09-01,"Angus Reid Institute",3,"GPA",3,"AB",2023-05-29,81,81,0.256302956691688
"UCP +11",431,2025-09-01,"Angus Reid Institute",3,"REP",NA,"AB",2023-05-29,81,81,0.256302956691688
"UCP +11",431,2025-09-01,"Angus Reid Institute",3,"ABP",NA,"AB",2023-05-29,81,81,0.256302956691688
"UCP +14",1040,2025-05-24,"Léger",4,"UCP",48,"AB",2023-05-29,181,181,0.178171441951349
"UCP +14",1040,2025-05-24,"Léger",4,"NDP(AB)",34,"AB",2023-05-29,181,181,0.178171441951349
"UCP +14",1040,2025-05-24,"Léger",4,"LIB(AB)",2,"AB",2023-05-29,181,181,0.178171441951349
"UCP +14",1040,2025-05-24,"Léger",4,"GPA",9,"AB",2023-05-29,181,181,0.178171441951349
"UCP +14",1040,2025-05-24,"Léger",4,"REP",2,"AB",2023-05-29,181,181,0.178171441951349
"UCP +14",1040,2025-05-24,"Léger",4,"ABP",2,"AB",2023-05-29,181,181,0.178171441951349
"UCP +26",400,2025-05-18,"Abacus Data",5,"UCP",58,"AB",2023-05-29,187,187,0.106951871657754
"UCP +26",400,2025-05-18,"Abacus Data",5,"NDP(AB)",32,"AB",2023-05-29,187,187,0.106951871657754
"UCP +26",400,2025-05-18,"Abacus Data",5,"LIB(AB)",NA,"AB",2023-05-29,187,187,0.106951871657754
"UCP +26",400,2025-05-18,"Abacus Data",5,"GPA",NA,"AB",2023-05-29,187,187,0.106951871657754
"UCP +26",400,2025-05-18,"Abacus Data",5,"REP",NA,"AB",2023-05-29,187,187,0.106951871657754
"UCP +26",400,2025-05-18,"Abacus Data",5,"ABP",NA,"AB",2023-05-29,187,187,0.106951871657754
"UCP +14",1200,2025-05-17,"Janet Brown OR",6,"UCP",52,"AB",2023-05-29,188,188,0.184260724209455
"UCP +14",1200,2025-05-17,"Janet Brown OR",6,"NDP(AB)",38,"AB",2023-05-29,188,188,0.184260724209455
