"party","region","poll_agg"
"ABP","AB",3.55887259058436
"BCG","BC",10.4480877704211
"BUF","SK",1.31810128591019
"CAQ","QC",17.3977766796683
"CPBC","BC",40.4270851725976
"GPA","AB",1.791704399083
"GPO","ON",5.77004655002441
"LIB(AB)","AB",4.66411740154044
"LIB(MB)","MB",8.62222884758164
"LIB(NB)","NB",43.5443878919288
"LIB(NL)","NL",48.4848034136228
"LIB(NS)","NS",19.6198103157567
"MBG","MB",3.17270120665705
"NBG","NB",13.4703574023122
"NDP(AB)","AB",37.5933584596172
"NDP(BC)","BC",42.9327701530881
"NDP(MB)","MB",51.1650958084483
"NDP(NB)","NB",5.62610043184808
"NDP(NL)","NL",11.8264689708085
"NDP(NS)","NS",23.8164998431471
"NDP(SK)","SK",44.0293650231385
"NSG","NS",3.42280919957461
"OLP","ON",28.1079303065421
"ONDP","ON",17.9395774536104
"PA","NB",1.64821376984039
"PC(MB)","MB",36.1133310623415
"PC(NB)","NB",36.3195022954818
"PC(NL)","NL",36.4440298894411
"PC(NS)","NS",50.108532048703
"PC(SK)","SK",3.12329074665105
"PCPO","ON",44.6089373195091
"PCQ","QC",13.1578454522621
"PLQ","QC",23.3685105360855
"PQ","QC",34.6124311616771
"QS","QC",9.53313313431785
"REP","AB",9.98180707596081
"SKG","SK",1.5519396183238
"SKP","SK",49.150408075326
"SPP","SK",1.65657913129483
"SUP","SK",3.67590938980693
"UCP","AB",47.1971104461796
"PC(PEI)","PEI",NA
"GPPEI","PEI",NA
"LIB(PEI)","PEI",NA
"NDP(PEI)","PEI",NA
"ISL","PEI",0.799422687860745
"Other","PEI",0.356433899084504
