"","district","party","votes","votes_pct","province"
"1","Abbotsford South","BCG",2617,12.0194736600377,"BC"
"2","Abbotsford South","BCU",9730,44.6883755109539,"BC"
"3","Abbotsford South","NDP(BC)",7706,35.3924585495798,"BC"
"4","Abbotsford South",NA,1720,7.89969227942865,"BC"
"5","Abbotsford West",NA,75,0.384398544410845,"BC"
"6","Abbotsford West","BCG",1671,8.56439956947363,"BC"
"7","Abbotsford West","BCU",8880,45.5127876582441,"BC"
"8","Abbotsford West","NDP(BC)",7119,36.4871098354774,"BC"
"9","Abbotsford West","BCC",1766,9.05130439239403,"BC"
"10","Abbotsford-Mission","BCG",2667,10.5686546463245,"BC"
"11","Abbotsford-Mission","BCU",9620,38.1216564295621,"BC"
"12","Abbotsford-Mission","NDP(BC)",10364,41.0699425401228,"BC"
"13","Abbotsford-Mission",NA,595,2.35783633841886,"BC"
"14","Abbotsford-Mission","BCC",1989,7.88191004557163,"BC"
"15","Boundary-Similkameen","BCU",7735,36.7231638418079,"BC"
"16","Boundary-Similkameen","NDP(BC)",10500,49.8504486540379,"BC"
"17","Boundary-Similkameen","BCC",2354,11.1759958220576,"BC"
"18","Boundary-Similkameen",NA,474,2.25039168209657,"BC"
"19","Burnaby North","BCG",2568,11.5115653577192,"BC"
"20","Burnaby North","BCU",6846,30.6885422270038,"BC"
"21","Burnaby North","NDP(BC)",12894,57.799892415277,"BC"
"22","Burnaby-Deer Lake","BCG",1878,11.5704516049535,"BC"
"23","Burnaby-Deer Lake","BCU",5163,31.8095003388577,"BC"
"24","Burnaby-Deer Lake","NDP(BC)",9190,56.6200480561888,"BC"
"25","Burnaby-Edmonds","BCG",2023,11.3396860986547,"BC"
"26","Burnaby-Edmonds","BCU",4754,26.6479820627803,"BC"
"27","Burnaby-Edmonds","NDP(BC)",11063,62.012331838565,"BC"
"28","Burnaby-Lougheed","BCG",2628,12.5928410561119,"BC"
"29","Burnaby-Lougheed","BCU",5386,25.8086156500072,"BC"
"30","Burnaby-Lougheed","NDP(BC)",12574,60.25204849298,"BC"
"31","Burnaby-Lougheed",NA,281,1.34649480090086,"BC"
"32","Cariboo North","BCG",707,6.37856369541682,"BC"
"33","Cariboo North","BCU",5367,48.4211476001444,"BC"
"34","Cariboo North","NDP(BC)",3809,34.3648502345724,"BC"
"35","Cariboo North","BCC",1201,10.8354384698665,"BC"
"36","Cariboo-Chilcotin","BCG",1379,10.7073530553614,"BC"
"37","Cariboo-Chilcotin","BCU",6600,51.2462147682273,"BC"
"38","Cariboo-Chilcotin","NDP(BC)",4180,32.4559360198773,"BC"
"39","Cariboo-Chilcotin",NA,457,3.54841214379998,"BC"
"40","Cariboo-Chilcotin",NA,263,2.04208401273391,"BC"
"41","Chilliwack","BCG",1888,10.6769213368772,"BC"
"42","Chilliwack","BCU",5102,28.8525702652265,"BC"
"43","Chilliwack","NDP(BC)",7349,41.5596900978341,"BC"
"44","Chilliwack","BCC",2910,16.4564836283436,"BC"
"45","Chilliwack",NA,257,1.45337329638636,"BC"
"46","Chilliwack",NA,177,1.00096137533224,"BC"
"47","Chilliwack-Kent","BCG",1822,8.02572460576161,"BC"
"48","Chilliwack-Kent","BCU",6964,30.6757113910669,"BC"
"49","Chilliwack-Kent","NDP(BC)",8268,36.4196987049599,"BC"
"50","Chilliwack-Kent",NA,5370,23.6543035855872,"BC"
"51","Chilliwack-Kent",NA,278,1.22456171262444,"BC"
"52","Columbia River-Revelstoke","BCG",1904,13.0001365560563,"BC"
"53","Columbia River-Revelstoke","BCU",7034,48.0267649870272,"BC"
"54","Columbia River-Revelstoke","NDP(BC)",5708,38.9730984569166,"BC"
"55","Coquitlam-Burke Mountain","BCG",2033,8.84528367560042,"BC"
"56","Coquitlam-Burke Mountain","BCU",8324,36.216498433693,"BC"
"57","Coquitlam-Burke Mountain","NDP(BC)",12627,54.9382178907066,"BC"
"58","Coquitlam-Maillardville","BCG",2405,11.6946267930951,"BC"
"59","Coquitlam-Maillardville","BCU",5882,28.6019936785801,"BC"
"60","Coquitlam-Maillardville","NDP(BC)",12278,59.7033795283248,"BC"
"61","Courtenay-Comox","BCG",5681,19.5903307010587,"BC"
"62","Courtenay-Comox","BCU",8655,29.8458567536812,"BC"
"63","Courtenay-Comox","NDP(BC)",14663,50.5638125452602,"BC"
"64","Cowichan Valley","BCG",13059,44.2078537576168,"BC"
"65","Cowichan Valley","BCU",4606,15.5924170616114,"BC"
"66","Cowichan Valley","NDP(BC)",11875,40.1997291807718,"BC"
"67","Delta North","BCG",2120,9.85404852654086,"BC"
"68","Delta North","BCU",7179,33.3689690434136,"BC"
"69","Delta North","NDP(BC)",12215,56.7769824300455,"BC"
"70","Delta South","BCG",3581,14.4319509934309,"BC"
"71","Delta South","BCU",12828,51.6987063232983,"BC"
"72","Delta South","NDP(BC)",8404,33.8693426832709,"BC"
"73","Esquimalt-Metchosin","BCG",6140,24.1694221382459,"BC"
"74","Esquimalt-Metchosin","BCU",3940,15.5093686033695,"BC"
"75","Esquimalt-Metchosin","NDP(BC)",15070,59.3213667139033,"BC"
"76","Esquimalt-Metchosin",NA,254,0.999842544481184,"BC"
"77","Fraser-Nicola","BCG",1788,13.0711309306236,"BC"
"78","Fraser-Nicola","BCU",5696,41.6404707946487,"BC"
"79","Fraser-Nicola","NDP(BC)",5414,39.5789165874698,"BC"
"80","Fraser-Nicola",NA,781,5.70948168725784,"BC"
"81","Kamloops-North Thompson","BCG",2224,9.75995084916839,"BC"
"82","Kamloops-North Thompson","BCU",9341,40.9926712599289,"BC"
"83","Kamloops-North Thompson","NDP(BC)",9145,40.1325317066749,"BC"
"84","Kamloops-North Thompson","BCC",1928,8.46096458507044,"BC"
"85","Kamloops-North Thompson",NA,149,0.653881599157414,"BC"
"86","Kamloops-South Thompson","BCG",4276,16.2560827250608,"BC"
"87","Kamloops-South Thompson","BCU",13453,51.1443126520681,"BC"
"88","Kamloops-South Thompson","NDP(BC)",8575,32.599604622871,"BC"
"89","Kelowna West","BCG",3274,12.5734475210262,"BC"
"90","Kelowna West","BCU",12991,49.8905487921963,"BC"
"91","Kelowna West","NDP(BC)",8854,34.0028418910096,"BC"
"92","Kelowna West",NA,446,1.71281539229617,"BC"
