EventNameEnglish,EventNameFrench,IsGeneralElection,ElectoralDistrictNumber,ElectoralDistrictNameEnglish,ElectoralDistrictNameFrench,ReturningOfficerName,ReturningOfficeCity,PollingDate,ResignedMPPName,NameOfCandidates,PoliticalInterestCode,TotalValidBallotsCast,PercentOfTotalValidBallotsCast,Plurality,IsMemberOfPreviousLegislature
2020 Provincial By-elections Orléans (76) and Ottawa-Vanier,Élections partielles provinciale Orléans (76) et Ottawa-Vani,0,076,Orléans,Orléans,RICHARD LALONDE,OTTAWA,2020-Feb-27,Marie-France Lalonde,Andrew West,GPO,1069,0.04191828091914359,0,0
2020 Provincial By-elections Orléans (76) and Ottawa-Vanier,Élections partielles provinciale Orléans (76) et Ottawa-Vani,0,080,Ottawa—Vanier,Ottawa—Vanier,ALLEN FOURNIER,OTTAWA,2020-Feb-27,Nathalie Des Rosiers,Patrick Mayangi,PCP,2329,0.11690006525121718,0,0
2020 Provincial By-elections Orléans (76) and Ottawa-Vanier,Élections partielles provinciale Orléans (76) et Ottawa-Vani,0,076,Orléans,Orléans,RICHARD LALONDE,OTTAWA,2020-Feb-27,Marie-France Lalonde,Keegan Bennett,NAP,100,0.00392126107756254,0,0
2020 Provincial By-elections Orléans (76) and Ottawa-Vanier,Élections partielles provinciale Orléans (76) et Ottawa-Vani,0,076,Orléans,Orléans,RICHARD LALONDE,OTTAWA,2020-Feb-27,Marie-France Lalonde,Manon Parrot,NDP,3888,0.15245863069563171,0,0
2020 Provincial By-elections Orléans (76) and Ottawa-Vanier,Élections partielles provinciale Orléans (76) et Ottawa-Vani,0,080,Ottawa—Vanier,Ottawa—Vanier,ALLEN FOURNIER,OTTAWA,2020-Feb-27,Nathalie Des Rosiers,J. Justin O'Donnell,OAL,38,0.00190734327159564,0,0
2020 Provincial By-elections Orléans (76) and Ottawa-Vanier,Élections partielles provinciale Orléans (76) et Ottawa-Vani,0,080,Ottawa—Vanier,Ottawa—Vanier,ALLEN FOURNIER,OTTAWA,2020-Feb-27,Nathalie Des Rosiers,Above Znoneofthe,NAP,95,0.00476835817898910,0,0
2020 Provincial By-elections Orléans (76) and Ottawa-Vanier,Élections partielles provinciale Orléans (76) et Ottawa-Vani,0,080,Ottawa—Vanier,Ottawa—Vanier,ALLEN FOURNIER,OTTAWA,2020-Feb-27,Nathalie Des Rosiers,Lucille Collard,LIB,10403,0.52216031722130201,5372,0
2020 Provincial By-elections Orléans (76) and Ottawa-Vanier,Élections partielles provinciale Orléans (76) et Ottawa-Vani,0,076,Orléans,Orléans,RICHARD LALONDE,OTTAWA,2020-Feb-27,Marie-France Lalonde,Natalie Montgomery,PCP,5945,0.23311897106109324,0,0
2020 Provincial By-elections Orléans (76) and Ottawa-Vanier,Élections partielles provinciale Orléans (76) et Ottawa-Vani,0,076,Orléans,Orléans,RICHARD LALONDE,OTTAWA,2020-Feb-27,Marie-France Lalonde,John Turmel,PAU,32,0.00125480354482001,0,0
2020 Provincial By-elections Orléans (76) and Ottawa-Vanier,Élections partielles provinciale Orléans (76) et Ottawa-Vani,0,080,Ottawa—Vanier,Ottawa—Vanier,ALLEN FOURNIER,OTTAWA,2020-Feb-27,Nathalie Des Rosiers,Ben Koczwarski,GPO,1710,0.08583044722180394,0,0
2020 Provincial By-elections Orléans (76) and Ottawa-Vanier,Élections partielles provinciale Orléans (76) et Ottawa-Vani,0,076,Orléans,Orléans,RICHARD LALONDE,OTTAWA,2020-Feb-27,Marie-France Lalonde,Gerrie Huenemoerder,OAL,28,0.00109795310171751,0,0
